review_id,listing_id,review_date,rating,review_text
1,63,07 January 2026,3,Not worth the price.
2,38,03/15/2026,4,Exceeded my expectations.
3,51,2026-02-22,3,Customer service was unhelpful.
4,15,2026.01.20,5,"Solid build quality, would buy again."
5,116,17 March 2026,4,"Works great, exactly as described."
6,96,14 January 2026,4,"Works great, exactly as described."
7,103,2026.01.30,4,"Solid build quality, would buy again."
8,96,01 February 2026,5,"Works great, exactly as described."
9,10,02/04/2026,2,"Arrived damaged, disappointed."
10,35,2026.03.12,3,Customer service was unhelpful.
11,46,2026.03.06,4,Really happy with this purchase.
12,41,02/19/2026,4,"Solid build quality, would buy again."
13,142,2026-01-14,4,Exceeded my expectations.
14,21,14 January 2026,5,"Works great, exactly as described."
15,34,09 February 2026,5,"Works great, exactly as described."
16,102,2026-01-20,2,Customer service was unhelpful.
17,149,29 January 2026,3,Customer service was unhelpful.
18,48,01/09/2026,4,"Solid build quality, would buy again."
19,34,26 January 2026,4,Exceeded my expectations.
20,146,03/08/2026,4,Exceeded my expectations.
21,56,2026-02-18,3,Not worth the price.
22,50,2026.02.25,5,"Works great, exactly as described."
23,127,2026-01-11,3,Doesn't match the description.
24,67,2026-01-24,4,Good value for the price.
25,11,01/30/2026,5,Good value for the price.
26,39,01/19/2026,3,Broke after two weeks.
27,51,28 January 2026,4,Really happy with this purchase.
28,23,2026.02.02,4,Exceeded my expectations.
29,22,13 February 2026,4,Good value for the price.
30,107,2026-02-19,3,Not worth the price.
31,63,2026.03.17,4,Good value for the price.
32,39,2026.01.24,3,Doesn't match the description.
33,46,2026.01.11,3,"Arrived damaged, disappointed."
34,47,24 January 2026,5,"Works great, exactly as described."
35,34,2026-03-04,3,Doesn't match the description.
36,30,2026-02-10,4,Really happy with this purchase.
37,147,2026-01-12,3,Broke after two weeks.
38,16,2026.02.18,5,Good value for the price.
39,147,2026.01.08,3,Customer service was unhelpful.
40,97,2026-02-24,4,"Solid build quality, would buy again."
41,39,05 March 2026,4,"Works great, exactly as described."
42,76,2026-03-06,4,Exceeded my expectations.
43,91,2026.02.28,4,Exceeded my expectations.
44,146,2026-01-08,5,Good value for the price.
45,15,2026-01-21,4,"Works great, exactly as described."
46,2,2026-02-11,3,Broke after two weeks.
47,11,2026-02-09,4,Good value for the price.
48,62,2026-03-15,3,Doesn't match the description.
49,42,2026-02-20,5,Really happy with this purchase.
50,67,27 February 2026,5,"Solid build quality, would buy again."
51,126,2026-02-17,3,Broke after two weeks.
52,7,2026-02-09,3,Not worth the price.
53,142,2026.02.05,5,Exceeded my expectations.
54,48,01/26/2026,3,Doesn't match the description.
55,84,21 January 2026,4,Good value for the price.
56,18,10 January 2026,5,Really happy with this purchase.
57,66,01/08/2026,4,Exceeded my expectations.
58,16,2026.02.04,4,"Works great, exactly as described."
59,51,2026-02-15,4,Exceeded my expectations.
60,10,01/10/2026,3,"Arrived damaged, disappointed."
61,67,2026.01.15,5,Good value for the price.
62,10,14 February 2026,2,Not worth the price.
63,88,2026-02-12,3,"Arrived damaged, disappointed."
64,135,02/25/2026,5,"Works great, exactly as described."
65,76,01 March 2026,3,Doesn't match the description.
66,91,07 March 2026,4,"Solid build quality, would buy again."
67,113,02/27/2026,2,Not worth the price.
68,33,2026-03-13,3,Broke after two weeks.
69,46,02/14/2026,3,Doesn't match the description.
70,13,03/17/2026,2,Customer service was unhelpful.
71,24,02/04/2026,4,Really happy with this purchase.
72,145,2026-01-30,5,Exceeded my expectations.
73,12,2026-01-07,3,Broke after two weeks.
74,149,2026-01-10,4,Good value for the price.
75,15,05 February 2026,4,"Works great, exactly as described."
76,144,2026-01-07,4,Good value for the price.
77,42,05 March 2026,4,"Solid build quality, would buy again."
78,21,18 March 2026,5,"Works great, exactly as described."
79,48,2026.03.17,5,Good value for the price.
80,24,2026.03.13,5,Really happy with this purchase.
81,16,03/13/2026,4,"Solid build quality, would buy again."
82,146,2026-02-09,4,"Solid build quality, would buy again."
83,69,13 March 2026,3,Not worth the price.
84,45,2026-03-21,5,Really happy with this purchase.
85,11,2026.02.25,4,"Works great, exactly as described."
86,91,2026-02-02,4,Good value for the price.
87,76,2026.02.16,4,"Solid build quality, would buy again."
88,12,2026.02.23,5,Good value for the price.
89,27,02 March 2026,3,"Arrived damaged, disappointed."
90,125,10 February 2026,4,Really happy with this purchase.
91,55,31 January 2026,4,"Solid build quality, would buy again."
92,97,2026-02-22,5,Exceeded my expectations.
93,86,2026-02-26,3,Customer service was unhelpful.
94,11,2026-01-09,3,Customer service was unhelpful.
95,12,30 January 2026,4,"Works great, exactly as described."
96,64,2026-01-27,4,Really happy with this purchase.
97,68,2026-03-05,3,Not worth the price.
98,72,01/24/2026,2,"Arrived damaged, disappointed."
99,140,2026.01.18,4,Really happy with this purchase.
100,40,09 January 2026,3,Broke after two weeks.
101,47,2026.02.27,3,Not worth the price.
102,73,2026-01-07,4,Good value for the price.
103,25,02/21/2026,3,"Arrived damaged, disappointed."
104,24,02/19/2026,4,"Solid build quality, would buy again."
105,17,03/10/2026,4,Good value for the price.
106,23,2026-02-05,4,"Works great, exactly as described."
107,139,2026.02.10,4,"Solid build quality, would buy again."
108,120,2026-01-23,5,Good value for the price.
109,79,2026-03-09,5,"Solid build quality, would buy again."
110,97,2026-01-14,5,Good value for the price.
111,42,01/05/2026,4,Good value for the price.
112,126,20 March 2026,4,Exceeded my expectations.
113,149,19 January 2026,3,Broke after two weeks.
114,6,24 February 2026,4,"Solid build quality, would buy again."
115,87,03/10/2026,3,Customer service was unhelpful.
116,84,2026-01-06,4,Really happy with this purchase.
117,13,2026-01-30,3,Broke after two weeks.
118,1,2026.02.26,5,"Works great, exactly as described."
119,76,2026.01.23,4,"Works great, exactly as described."
120,86,05 February 2026,2,Doesn't match the description.
121,140,2026.01.12,3,Broke after two weeks.
122,85,2026.01.07,5,"Solid build quality, would buy again."
123,80,2026.01.16,5,Really happy with this purchase.
124,91,2026.02.16,3,Broke after two weeks.
125,29,2026.03.12,4,Good value for the price.
126,76,2026-01-21,4,Exceeded my expectations.
127,49,2026-01-22,2,Doesn't match the description.
128,135,05 January 2026,4,Exceeded my expectations.
129,9,2026.03.08,3,Broke after two weeks.
130,56,2026-03-07,3,"Arrived damaged, disappointed."
131,39,2026-01-13,3,Not worth the price.
132,42,2026-01-22,4,"Solid build quality, would buy again."
133,57,25 February 2026,2,Doesn't match the description.
134,47,2026-02-21,5,"Solid build quality, would buy again."
135,15,2026.02.03,3,"Arrived damaged, disappointed."
136,86,2026-01-23,3,Broke after two weeks.
137,64,2026-03-11,4,Exceeded my expectations.
138,79,2026.02.18,5,Really happy with this purchase.
139,62,05 March 2026,5,Exceeded my expectations.
140,44,05 March 2026,5,Exceeded my expectations.
141,144,2026.02.12,4,"Works great, exactly as described."
142,62,2026-01-08,4,Really happy with this purchase.
143,102,06 February 2026,3,Not worth the price.
144,8,19 March 2026,3,Doesn't match the description.
145,40,23 January 2026,5,Exceeded my expectations.
146,42,02/22/2026,5,"Works great, exactly as described."
147,94,2026-02-26,4,"Works great, exactly as described."
148,2,11 January 2026,3,Doesn't match the description.
149,139,2026-02-04,5,"Works great, exactly as described."
150,126,17 March 2026,3,Customer service was unhelpful.
151,47,2026-01-14,4,"Works great, exactly as described."
152,94,01 February 2026,3,"Arrived damaged, disappointed."
153,55,02/23/2026,3,"Arrived damaged, disappointed."
154,66,02/13/2026,3,"Arrived damaged, disappointed."
155,19,01/25/2026,4,Exceeded my expectations.
156,84,2026-02-26,4,Exceeded my expectations.
157,94,2026.02.19,5,Good value for the price.
158,102,03/16/2026,3,Doesn't match the description.
159,45,2026-02-05,4,Exceeded my expectations.
160,46,13 January 2026,3,Doesn't match the description.
161,115,01/13/2026,4,Exceeded my expectations.
162,85,2026-01-18,5,"Solid build quality, would buy again."
163,149,2026.01.05,3,"Arrived damaged, disappointed."
164,18,17 January 2026,4,Really happy with this purchase.
165,125,18 March 2026,4,Exceeded my expectations.
166,146,2026.03.20,3,"Arrived damaged, disappointed."
167,51,2026.01.11,4,Good value for the price.
168,50,02/03/2026,4,Good value for the price.
169,76,01/10/2026,3,"Arrived damaged, disappointed."
170,13,03/09/2026,3,Broke after two weeks.
171,91,02/16/2026,4,Really happy with this purchase.
172,147,21 March 2026,4,Really happy with this purchase.
173,25,01/16/2026,4,Really happy with this purchase.
174,104,2026.01.25,4,"Solid build quality, would buy again."
175,51,2026-02-01,3,"Arrived damaged, disappointed."
176,123,2026-03-13,4,"Works great, exactly as described."
177,50,02/03/2026,4,Good value for the price.
178,145,2026-03-17,4,Really happy with this purchase.
179,110,2026-01-28,4,"Solid build quality, would buy again."
180,11,23 January 2026,5,"Works great, exactly as described."
181,135,12 January 2026,4,Exceeded my expectations.
182,21,2026.02.22,3,"Arrived damaged, disappointed."
183,50,20 January 2026,5,Really happy with this purchase.
184,87,01/19/2026,4,Exceeded my expectations.
185,145,2026-01-11,5,Exceeded my expectations.
186,63,2026.01.29,4,Really happy with this purchase.
187,86,02/25/2026,4,Really happy with this purchase.
188,64,02/06/2026,3,"Arrived damaged, disappointed."
189,80,30 January 2026,4,Exceeded my expectations.
190,102,02/19/2026,4,"Works great, exactly as described."
191,65,22 January 2026,4,Good value for the price.
192,96,10 February 2026,5,"Works great, exactly as described."
193,104,02/28/2026,5,Good value for the price.
194,86,2026-01-23,3,Broke after two weeks.
195,21,17 February 2026,5,"Solid build quality, would buy again."
196,57,2026.02.12,3,"Arrived damaged, disappointed."
197,86,2026.02.04,2,Broke after two weeks.
198,35,25 February 2026,3,Not worth the price.
199,72,06 January 2026,3,Broke after two weeks.
200,140,01/06/2026,3,Not worth the price.
201,104,09 February 2026,5,Really happy with this purchase.
202,16,03/01/2026,5,Exceeded my expectations.
203,86,2026-01-24,2,"Arrived damaged, disappointed."
204,32,2026-03-14,5,"Works great, exactly as described."
205,84,2026.02.16,3,Doesn't match the description.
206,62,24 February 2026,2,Customer service was unhelpful.
207,17,2026.01.17,3,"Arrived damaged, disappointed."
208,27,15 February 2026,3,Broke after two weeks.
209,103,2026-03-17,3,Doesn't match the description.
210,4,02/23/2026,4,Exceeded my expectations.
211,103,2026.01.07,3,"Arrived damaged, disappointed."
212,32,2026-01-18,5,"Works great, exactly as described."
213,1,09 March 2026,3,Broke after two weeks.
214,47,2026.01.30,3,Not worth the price.
215,55,03/08/2026,2,Not worth the price.
216,110,12 February 2026,5,"Works great, exactly as described."
217,1,02/15/2026,4,Really happy with this purchase.
218,49,2026-01-22,2,Doesn't match the description.
219,34,09 February 2026,4,Good value for the price.
220,47,02/03/2026,5,Really happy with this purchase.
221,6,01/27/2026,5,"Works great, exactly as described."
222,146,2026.02.24,5,Really happy with this purchase.
223,44,2026.01.19,5,"Solid build quality, would buy again."
224,138,2026-03-08,2,Broke after two weeks.
225,23,2026-02-26,5,Exceeded my expectations.
226,76,2026.01.13,2,Broke after two weeks.
227,46,12 January 2026,2,"Arrived damaged, disappointed."
